username,tweetText,postTimeRaw,scrapeTime,tag,postTime,year,month,day
@somuensojai,ความภาคภูมิใจ!ของชีวิตนี้ตอนนี้ฮิ๋งงง เดะๆว่างๆทำเธรดรีวิววววนะคับ สำหรับเด็ก69มีอาไยถามได้เบย!!! เย้ #ธรรมศาสตร์ช้างเผือก #dek68,2025-05-06 07:54:17,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-05-06 07:54:17,2025,5,6
@DEXCEM212,หาเพื่อนคั้บสาขานี้มีมั้ย #dek68 #มธ #ธรรมศาสตร์ช้างเผือก,2025-05-02 13:49:46,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-05-02 13:49:46,2025,5,2
@jaeminjenfffy,Finally ติดมธแล้วนะคะ #ธรรมศาสตร์ช้างเผือก #dek68 #ทีมมธ,2025-05-02 02:40:31,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-05-02 02:40:31,2025,5,2
@mankheuthe,ยินดีกับน้องๆที่ติดช้างเผือกทุกคนเลย #ธรรมศาสตร์ช้างเผือก,2025-05-01 16:33:41,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-05-01 16:33:41,2025,5,1
@green_thai04,I got it  #ธรรมศาสตร์ช้างเผือก #dek68 #TU91,2025-05-01 11:48:04,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-05-01 11:48:04,2025,5,1
@tatty07_5,"ยังจำความรู้สึกตอนยื่น สัมภาษณ์ เยี่ยมบ้านตอนร้องไห้เพราะกลัวคงามผิดหวังหรือเพราะดีใจไปเยอะมากๆวันนี้ทำสำเร็จแล้วตั้งตัวไม่ถูกเลย แต่สัญญากับทุกคนที่ภูมิใจในตัวเราไว้ว่าจะทำให้ดีที่สุด

#dek68 #ธรรมศาสตร์ช้างเผือก",2025-05-01 10:06:24,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-05-01 10:06:24,2025,5,1
@Sundayyyyyy18,ภาคใต้มีใครโดนเยี่ยมบ้านแล้วบ้างคะ #ธรรมศาสตร์ช้างเผือก,2025-04-26 19:28:42,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-04-26 19:28:42,2025,4,26
@102yhnml,วิศวะ ยังไม่โดนเยี่ยมบ้าน นี่ทำใจได้เลยใช่มั้ยครับ #ธรรมศาสตร์ช้างเผือก,2025-04-26 19:02:57,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-04-26 19:02:57,2025,4,26
@MasterJang4856,ทุกคนคิดว่าไม่โดนเยี่ยมแต่มีสิทธิ์ติดนี่จริงมั้ย หรือใครมีรุ่นพี่ที่ไม่โดนเยี่ยมแต่ติดบ้าง #ธรรมศาสตร์ช้างเผือก,2025-04-15 13:26:05,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-04-15 13:26:05,2025,4,15
@mellow3to3,วิศวะโยธามีใครโดนเยี่ยมบ้านยังคะ #ธรรมศาสตร์ช้างเผือก,2025-04-10 01:49:27,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-04-10 01:49:27,2025,4,10
@20_4_2020,รัฐศาสตร์มีใครโดนเยี่ยมบ้านยังคะ #ธรรมศาสตร์ช้างเผือก,2025-03-25 06:03:07,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-03-25 06:03:07,2025,3,25
@jescoia,บริหารมีใครโดนเยี่ยมแล้วบ้างไหมคับ #ธรรมศาสตร์ช้างเผือก,2025-03-24 09:43:08,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-03-24 09:43:08,2025,3,24
@green_thai04,สอบถามคนที่ติดสัมโครงการนักเรียนสามจังหวัดหน่อยค่ะ ตอนนี้กรรมการเริ่มลงพื้นที่รึยังคะ #ธรรมศาสตร์ช้างเผือก #มธ #ธรรมศาสตร์ #นักเรียนสามจังหวัดชายแดนใต้,2025-03-24 09:01:47,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-03-24 09:01:47,2025,3,24
@TnpwoT,"ขออนุญาตสอบถามเพื่อนๆที่ลงโครงการธรรมศาสตร์ช้างเผือก มีใครถูกเยี่ยมบ้านยังคะ เราคณะพาณิชยศาสตร์และการบัญชี 
#ธรรมศาสตร์ช้างเผือก",2025-03-24 04:12:57,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-03-24 04:12:57,2025,3,24
@cigarettegfilm,มีใครลงคณะวิศวะแล้วโดนเยี่ยมบ้านไปแล้วมั้ยคะะ #ธรรมศาสตร์ช้างเผือก,2025-03-23 06:55:27,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-03-23 06:55:27,2025,3,23
@synth3tic_,อยากรู้ว่ากรรมการเริ่มเยี่ยมบ้านหรือยังคะ  #ธรรมศาสตร์ช้างเผือก,2025-03-18 04:05:21,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-03-18 04:05:21,2025,3,18
@mini_cuteJP,"สอบถามหน่อยคับ เราสมัครโควต้าช้างเผือกไปแต่ไม่ติดสัม เราสามารถสมัครโควต้าโครงการอื่นได้อยู่มั้ยคะ หรือรอรอบ3เลยหรอคะ
#ธรรมศาสตร์ช้างเผือก #มหาวิทยาลัยธรรมศาสตร์  #มธ #dek68",2025-03-01 09:40:19,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-03-01 09:40:19,2025,3,1
@20_4_2020,สรุปมีกี่สัมม งงไปหมดละ  #ธรรมศาสตร์ช้างเผือก,2025-02-27 10:17:39,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-27 10:17:39,2025,2,27
@becofuit,birth but w/ dek68 #ธรรมศาสตร์ช้างเผือก,2025-02-27 02:52:24,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-27 02:52:24,2025,2,27
@rolcnen_789,สรุปประกาศทางไหนมีใครรู้บ้างงคะะ #ธรรมศาสตร์ช้างเผือก,2025-02-27 01:28:05,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-27 01:28:05,2025,2,27
@darlilenee,สรุปคือไม่มีประกาศผ่านสัมรอบนี้ใช่มั้ยคะ ใครผ่านรอเยี่ยมบ้าน ส่วนคนไม่ผ่านก็  #ธรรมศาสตร์ช้างเผือก,2025-02-26 10:37:04,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-26 10:37:04,2025,2,26
@Normally6969,ได้ TGAT ประมาณเท่าไหร่กันหรอครับ ทั้งรุ่นนี้รุ่นก่อนเลยครับ เผื่อเป็นแนวทางให้รุ่นน้องแบบผมครับ  #ธรรมศาสตร์ช้างเผือก #ธรรมศาสตร์,2025-02-24 20:45:21,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-24 20:45:21,2025,2,24
@domzy098,"ฝากถึงคนที่กำลังส่งโครงการ #ธรรมศาสตร์ช้างเผือก ในอนาคตจาก Dek68 คือถ้าสมัครศิลปศาสตร์แล้วคะแนนทีแกทน้อยกว่า65ไม่ควรหวังนะเพราะผมไม่ติดไม่คุ้มเสี่ยงเป็นความหวังดี ปีผมมีคนสมัครเกือบ400รับประมาณ30เอาเปนว่าหวังรอบ1นะถ้าทีแกทไม่ถึง65 ขอให้คนในอนาคตโชคดีครับ
#มธช้างเผือก",2025-02-24 12:32:21,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-24 12:32:21,2025,2,24
@_yxungwxnmin,ช้างเผือกนี่มีสัมกี่รอบเหรอครับ #ธรรมศาสตร์ช้างเผือก,2025-02-23 13:46:56,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-23 13:46:56,2025,2,23
@_yxungwxnmin,สติหลุด #ธรรมศาสตร์ช้างเผือก,2025-02-22 17:12:38,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-22 17:12:38,2025,2,22
@sIiors,ทุกคนสัมเสร็จแล้วเป็นยังไงบ้างคะ เราเหมือนสติจะหลุด #ธรรมศาสตร์ช้างเผือก,2025-02-22 08:33:29,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-22 08:33:29,2025,2,22
@paipaicandoit,ปรึกษาได้นะใครมีเรื่องสงสัย พร้อมให้คำปรึกษา เต็มใจช่วยมาก เด็ก90คั้บ  #ธรรมศาสตร์ช้างเผือก,2025-02-22 08:29:06,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-22 08:29:06,2025,2,22
@MasterJang4856,พวกเรา #dek68 ช่วยกันแชร์คำถามสัมภาษณ์แต่ละคณะ/สาขา ให้รุ่นต่อไปกันมั้ยครับ  #ธรรมศาสตร์ช้างเผือก,2025-02-22 05:13:51,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-22 05:13:51,2025,2,22
@Gyu0paraside,สัมพยาบาลพูดไม่เรื่อง ลิ้นพัน ที่เตรียมมาหายวับไปในหัว เอาเถอะ มอท่อรักหนูเถอะนะคะ #ธรรมศาสตร์ช้างเผือก,2025-02-22 04:49:07,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-22 04:49:07,2025,2,22
@becofuit,อาจารย์ถาม 5 ตอบได้ 0.1 #ธรรมศาสตร์ช้างเผือก,2025-02-22 04:33:40,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-22 04:33:40,2025,2,22
@simmamax,สัมไวมากมีโอกาสติดมั้ยคะ #ธรรมศาสตร์ช้างเผือก,2025-02-22 04:08:14,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-22 04:08:14,2025,2,22
@tatty07_5,"บนๆถ้าติดตัวจริงจะมาแชร์ตั้งแต่ขั้นแรก (โดยเฉพาะการสัมศิลปศาสตร์มันหายากแท้)
 #dek68 #dek69  #ธรรมศาสตร์ช้างเผือก",2025-02-22 03:13:16,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-22 03:13:16,2025,2,22
@torkorlatte,#ธรรมศาสตร์ช้างเผือก หาเพื่อนค่ะ,2025-02-20 15:29:12,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-20 15:29:12,2025,2,20
@Sundayyyyyy18,มีใครมีแนวทางสัม นิติ มธ บ้างคะ มืดสิบแปดสิบเก้าด้านเลยค่ะ #ธรรมศาสตร์ช้างเผือก,2025-02-20 12:13:45,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-20 12:13:45,2025,2,20
@iamtobemy05,ใครมีแนวทางการสัมภาษณ์นิติศาสตร์ มธ.ไหมคะ #ธรรมศาสตร์ช้างเผือก,2025-02-20 06:35:26,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-20 06:35:26,2025,2,20
@lostbubbe,"สวัสดีค่า พี่เป็นตัวแทนจากนางฟ้าเจซีช้างเผือกที่ติดตัวจริงนะคะ พอดีมรแพลนกับเพื่อนๆว่าจะจัดกิจกรรมแนะแนวสัมภาษณ์ให้น้อง จอยๆปล่อยใจเฉพาะเด็กคณะวารสารค่ะ ใครสนใจเข้ามาคุยจอยๆปรึกษากันได้น้า 
#ธรรมศาสตร์ช้างเผือก #ช้างเผือกมธ #วารสารมธ #โครงการช้างเผือก",2025-02-20 05:19:04,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-20 05:19:04,2025,2,20
@Badtitude06,เอาเถอะเด็กที่เคยไปเที่ยวเยอรมนีทุกปิดเทอม พ่อเลี้ยงเป็นคนเยอรมัน ใช้ airpods max ฉ่ำ แต่ติดสัม #ธรรมศาสตร์ช้างเผือก #โควต้าธรรมศาาตร์ #tcas68 #dek68,2025-02-20 01:52:08,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-20 01:52:08,2025,2,20
@_yxungwxnmin,หาเพื่อนครับ นิติ #ธรรมศาสตร์ช้างเผือก,2025-02-19 12:43:49,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 12:43:49,2025,2,19
@Sundayyyyyy18,มีกลุ่มopenchat นิติ68 สำหรับเตรียมตัวสัมมั้ยคะ #ธรรมศาสตร์ช้างเผือก,2025-02-19 11:30:44,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 11:30:44,2025,2,19
@XXVIIGXM,"สาวมธ is coming  
#ธรรมศาสตร์ช้างเผือก",2025-02-19 09:14:50,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 09:14:50,2025,2,19
@Saly_abc,ใครมีแนวทางการสัมภาษณ์ คณะนิติศาสตร์บ้างคะ #ธรรมศาสตร์ช้างเผือก,2025-02-19 08:53:39,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 08:53:39,2025,2,19
@20_4_2020,รุ่นพี่มีแนวการสัมภาษณ์มั้ยคะ #ธรรมศาสตร์ช้างเผือก #dek68  #dek67,2025-02-19 06:13:55,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 06:13:55,2025,2,19
@yeepunboy26,ขอแค่ติดตัวจริง วารสารให้หนูได้มั้ย  #ธรรมศาสตร์ช้างเผือก,2025-02-19 06:13:48,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 06:13:48,2025,2,19
@nunew_nuna,อยากถามคนติดสัมโครงการ #ธรรมศาสตร์ช้างเผือก ส่วนใหญ่ได้คะแนน tgat กันเท่าไรคะ,2025-02-19 05:39:17,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 05:39:17,2025,2,19
@hausoffanq,มหาลัยก็ไม่ติด คอนเสิร์ตก็ไม่ได้ไปนอยๆๆๆๆ #ธรรมศาสตร์ช้างเผือก,2025-02-19 05:17:46,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 05:17:46,2025,2,19
·,หาเพื่อนบัญชีค้าบ #ธรรมศาสตร์ช้างเผือก,2025-02-19 04:28:24,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 04:28:24,2025,2,19
@bpp1312,ลูกพ่ายแล้วแม่จ๋า #ธรรมศาสตร์ช้างเผือก,2025-02-19 04:19:20,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 04:19:20,2025,2,19
@Coobbw,"ติดสอบสัมมม หาเพื่อนเมคเฟรนค่ะ
#ธรรมศาสตร์ #ธรรมศาสตร์ช้างเผือก",2025-02-19 03:19:34,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 03:19:34,2025,2,19
·,หาเพื่อนค้าบ#ธรรมศาสตร์ช้างเผือก,2025-02-19 03:14:55,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 03:14:55,2025,2,19
@hisaehae,สิงห์แดง calling  #ธรรมศาสตร์ช้างเผือก,2025-02-19 02:39:41,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 02:39:41,2025,2,19
@hozqr,ระเบิด #ธรรมศาสตร์ช้างเผือก,2025-02-19 02:28:22,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 02:28:22,2025,2,19
@iamtobemy05,ฮรือออ  #ธรรมศาสตร์ช้างเผือก,2025-02-19 01:51:47,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 01:51:47,2025,2,19
@_Xercesblu3,มีใครติดสหเวชไหมคะ  อยากทราบคะแนน #ธรรมศาสตร์ช้างเผือก,2025-02-19 01:22:55,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 01:22:55,2025,2,19
@jaeminjenfffy,#ธรรมศาสตร์ช้างเผือก,2025-02-19 01:20:45,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 01:20:45,2025,2,19
@gorgaisuh,หลานพ่ายแล้ว #ธรรมศาสตร์ช้างเผือก,2025-02-19 00:59:43,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 00:59:43,2025,2,19
@hottestgeminixx,มีใครติดธรรมศาสตร์ช้างเผือกรอบสัมบ้างคะ เราขอดูสถิติหน่อยยย (หรือดูจำนวนคนผ่านได้ที่ไหน รบกวนเมนชั่นบอกเราทีค่ะ) #ธรรมศาสตร์ช้างเผือก,2025-02-19 00:47:59,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 00:47:59,2025,2,19
@simmamax,นิติมธ.มาเถอะ #ธรรมศาสตร์ช้างเผือก,2025-02-19 00:44:48,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 00:44:48,2025,2,19
@liuthida,ไปต่อรอบสามม#ธรรมศาสตร์ช้างเผือก,2025-02-19 00:22:09,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 00:22:09,2025,2,19
@oraphin2006,มีรุ่นพี่ที่ติดสัมสหเวชมั้ยคะ อยากรู้จังเลยค่ะว่าอาจารย์สุมประมาณไหน (ซ้อมๆฟ) #ธรรมศาสตร์ช้างเผือก,2025-01-26 08:00:16,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-01-26 08:00:16,2025,1,26
@pungmaihwai,วารสารมีใครได้สัม #ธรรมศาสตร์ช้างเผือก บ้างคับ มาอวดกันหน่อยได้ม้าย,2025-02-19 00:25:06,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-19 00:25:06,2025,2,19
@woodsdivinity,"ใครได้สัมบ้างคะ ยินดีด้วยน้าาา นี่อยากรู้เก่งขนาดไหนน้อ มาอวดได้นะคะ อย่างน้อยเห็นคนที่ติดจะได้เลิกนอย 
#ธรรมศาสตร์ช้างเผือก",2025-02-18 23:58:01,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-18 23:58:01,2025,2,18
@yxnxpha,"เศร้าซึมแต่เช้า แล้ววันนี้มีสอบปลายภาคด้วย ชีวิต 
เจอกันใหม่นะธรรมศาสตร์รอบ 3 
#ธรรมศาสตร์ช้างเผือก",2025-02-18 23:52:49,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-18 23:52:49,2025,2,18
@itsmsnbeardw,มีกลุ่มไลน์สำหรับวิศวะมั้ยคะะ อยากเอาไว้ตามข่าวสาร #ธรรมศาสตร์ช้างเผือก #มธ #dek68,2025-02-18 23:49:53,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-02-18 23:49:53,2025,2,18
